Escherichia coli bacteriophage T5 (ATCC 11303-B5),$235.00,$199.75,NA,T5,T5,1,freeze-dried,ATCC  129: Nutrient agar/stabs/broth with 0.5% NaCl,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/11303-B5.ashx
Staphylococcus aureus subsp. aureus bacteriophage 75 (ATCC 27698-B1),$235.00,$199.75,NA,75,75,1,freeze-dried,ATCC  1831: Nutrient Broth/Agar w/ 400ug/ml Calcium Chloride,Temperature: 37Celsius Atmosphere: Aerobic,Store filtrate at 4Celsius .  Storage at 20Celsius  may cause inactivation of the phage.,NA,NA,NA,https://www.atcc.org/~/ps/27698-B1.ashx
Staphylococcus aureus subsp. aureus bacteriophage 55 (ATCC 27696-B1),$235.00,$199.75,NA,55,55,1,freeze-dried,ATCC  1831: Nutrient Broth/Agar w/ 400ug/ml Calcium Chloride,Temperature: 37Celsius Atmosphere: Aerobic,Store filtrate at 4Celsius . Storage at 20Celsius  may cause inactivation of the phage.,NA,NA,NA,https://www.atcc.org/~/ps/27696-B1.ashx
Escherichia coli bacteriophage phi V-1 (ATCC 15597-B2),$402.00,$341.70,NA,phi V-1,phi V-1,1,freeze-dried,ATCC  271: Escherichia medium,"Temperature: 37Celsius Atmosphere: 

Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to   8Celsius Live Culture: See Propagation Section,NA,NA,Characterization,https://www.atcc.org/~/ps/15597-B2.ashx
Pseudomonas aeruginosa bacteriophage Lindberg 73 (ATCC BAA-83-B1),$550.00,$467.50,NA,SD1,HER-8 [73Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-83-B1.ashx
Pseudomonas aeruginosa bacteriophage Lindberg 68 (ATCC BAA-82-B1),$550.00,$467.50,NA,phiKZ,HER-7 [68Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-82-B1.ashx
Pseudomonas aeruginosa bacteriophage Lindberg 31 (ATCC BAA-81-B2),$550.00,$467.50,NA,gh-1,HER-5 [31Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-81-B2.ashx
Pseudomonas aeruginosa bacteriophage Lindberg 24 (ATCC BAA-79-B1),$550.00,$467.50,NA,Li-24,HER-4 [24Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-79-B1.ashx
Pseudomonas aeruginosa bacteriophage Lindberg M4 (ATCC BAA-30-B1),$550.00,$467.50,NA,Li-24,HER-16 [M4 Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-30-B1.ashx
Pseudomonas aeruginosa bacteriophage Lindberg M7 (ATCC BAA-29-B1),$550.00,$467.50,NA,SD1,HER-9 [F7Lindberg],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-29-B1.ashx
Escherichia coli bacteriophage T5 (ATCC 11303-B5),$235.00,$199.75,NA,T5,T5,1,freeze-dried,ATCC  129: Nutrient agar/stabs/broth with 0.5% NaCl,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/11303-B5.ashx
Staphylococcus aureus subsp. aureus bacteriophage 75 (ATCC 27698-B1),$235.00,$199.75,NA,75,75,1,freeze-dried,ATCC  1831: Nutrient Broth/Agar w/ 400ug/ml Calcium Chloride,Temperature: 37Celsius Atmosphere: Aerobic,Store filtrate at 4Celsius .  Storage at 20Celsius  may cause inactivation of the phage.,NA,NA,NA,https://www.atcc.org/~/ps/27698-B1.ashx
Staphylococcus aureus subsp. aureus bacteriophage 55 (ATCC 27696-B1),$235.00,$199.75,NA,55,55,1,freeze-dried,ATCC  1831: Nutrient Broth/Agar w/ 400ug/ml Calcium Chloride,Temperature: 37Celsius Atmosphere: Aerobic,Store filtrate at 4Celsius . Storage at 20Celsius  may cause inactivation of the phage.,NA,NA,NA,https://www.atcc.org/~/ps/27696-B1.ashx
