Megasphaera cerevisiae Engelmann and Weiss (ATCC 43254),$376.00,$319.60,seqeunce available,NA,DSM 20462 [PAT 1],1,freeze-dried,ATCC  1528: PY-fructose (ATCC medium 1524) with 10 g fructose per liter of medium,"Temperature: 26Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/43254.ashx
Halomonas elongata Vreeland et al. (ATCC 33173),$376.00,$319.60,seqeunce available,NA,"1 H 9 [IFO 15536, NCMB 2198]",1,frozen,ATCC  1097: Halomonas medium,"Temperature: 30Celsius 
Atmosphere: Aerobic",-80Celsius  or colder,NA,NA,Biotechnology,https://www.atcc.org/~/ps/33173.ashx
Methylobacterium extorquens (Urakami and Komagata) Bousfield and Green (ATCC 43645),$376.00,$319.60,NA,NA,"NCIB 9399 [ATCC 23326, DSM 1337, TK 0001]",1,freeze-dried,ATCC  784: AMS (ammonium mineral salts),Temperature: 30.0Celsius Atmosphere: Aerobic,NA,NA,NA,Sterility assuranceBiotechnology,https://www.atcc.org/~/ps/43645.ashx
Acidithiobacillus ferrooxidans (Temple and Colmer) Kelly and Wood (ATCC 14119),"$1,200.00","$1,020.00",NA,Ferrobacillus sulfooxidans Kinsel,NA,1,test tube,ATCC  2039: Acidithiobacillus ferrooxidans,"Temperature: 26Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Produces hydrogen sulfide:ferric ion oxidoreductaseBiotechnology,https://www.atcc.org/~/ps/14119.ashx
Moorella thermoacetica (Fontaine et al.) Collins et al. (ATCC 39073),$376.00,$319.60,seqeunce available,Clostridium thermoaceticum Fontaine et al.,NA,1,freeze-dried,ATCC  1203: CM4 medium,"Temperature: 55Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Produces ATP synthase
Produces acetate
Production of acetate from sugars
Precipitation of cadmium",https://www.atcc.org/~/ps/39073.ashx
Desulfovibrio desulfuricans subsp. desulfuricans (Beijerinck) Kluyver and van Niel (ATCC 29577),,,seqeunce available,NA,NCIB 8307 [Essex 6],1,freeze-dried,"ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 30Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/29577.ashx
Desulfovibrio piger (Moore et al.) Loubinoux et al. (ATCC 29098),$402.00,$341.70,seqeunce available,Desulfomonas pigra Moore et al.,VPI C3-23 [DSM 749],1,freeze-dried,"ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/29098.ashx
Desulfotomaculum nigrificans (Werkman and Weaver) Campbell and Postgate (ATCC 19858),$402.00,$341.70,seqeunce available,Clostridium nigrificans Werkman and Weaver,NCIB 8395 [Delft 74],1,freeze-dried,"ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 45Celsius  to 55Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/19858.ashx
Rhodopseudomonas palustris (Molisch) van Niel (ATCC 17001),$376.00,$319.60,seqeunce available,NA,"ATH 2.1.6 [ATCC 11168, E.II.5.1.6, NCIB 11692, NCIB 8252, NCIB 8288, Pal 6]",1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30Celsius Atmosphere: Anaerobic under a tungsten lamp,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Produces neuraminidase sialidaseBiotechnology,https://www.atcc.org/~/ps/17001.ashx
Methylobacterium extorquens (Urakami and Komagata) Bousfield and Green (ATCC 14718),$376.00,$319.60,seqeunce available,Pseudomonas sp.,"NCIB 9133 [D 355; AM1, R. Hugh 1924]",1,freeze-dried,ATCC  396: Methylamine-salts medium,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Produces glutamate dehydrogenase (NADP+) NADP+-dependent glutamate dehydrogenase, glutamate dehydrogenase (NADP-dependent)Biotechnology",https://www.atcc.org/~/ps/14718.ashx
Megasphaera cerevisiae Engelmann and Weiss (ATCC 43254),$376.00,$319.60,seqeunce available,NA,DSM 20462 [PAT 1],1,freeze-dried,ATCC  1528: PY-fructose (ATCC medium 1524) with 10 g fructose per liter of medium,"Temperature: 26Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/43254.ashx
Halomonas elongata Vreeland et al. (ATCC 33173),$376.00,$319.60,seqeunce available,NA,"1 H 9 [IFO 15536, NCMB 2198]",1,frozen,ATCC  1097: Halomonas medium,"Temperature: 30Celsius 
Atmosphere: Aerobic",-80Celsius  or colder,NA,NA,Biotechnology,https://www.atcc.org/~/ps/33173.ashx
