Mycobacterium marinum Aronson (ATCC BAA-535D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Mycobacterium marinum strain M [ATCC BAA-535],1,dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-535D-5.ashx
Kineococcus radiotolerans Phillips et al. (ATCC BAA-149D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Kineococcus radiotolerans strain SRS30216 [ATCC BAA-149],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-149D-5.ashx
Micrococcus luteus (Schroeter) Cohn (ATCC 53598D),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Micrococcus luteus strain SC 14641 [ATCC 53598],1,dried Total DNA: 10 ug,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/53598D.ashx
Campylobacter jejuni subsp. jejuni (Jones et al.) Veron and Chatelain (ATCC 33560D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Campylobacter jejuni subsp. jejuni strain CIP 702 [ATCC 33560],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33560D-5.ashx
Eggerthella lenta (Eggerth) Wade et al. (ATCC 25559D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Eggerthella lenta strain VPI 0255 [ATCC 25559],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/25559D-5.ashx
Quantitative Genomic DNA from Proteus mirabilis (ATCC 12453DQ),$541.00,$541.00,seqeunce available,NA,NA,1,frozen Specification range: ≥1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/12453DQ.ashx
Proteus mirabilis Hauser (ATCC 12453D-5),"For-Profit:
$541.00",,seqeunce available,NA,Genomic DNA from Proteus mirabilis strain D1 [ATCC 12453],1,freeze-dried At least 5 uL in 1X TE,NA,NA,2Celsius  to 8Celsius,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays.",https://www.atcc.org/~/ps/12453D-5.ashx
Mycobacteroides abscessus Gupta et al. (ATCC 19977D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Mycobacteroides abscessus strain L948 [ATCC 19977],1,freeze-dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/19977D-5.ashx
"NGS-Ready DNA from Staphylococcus aureus, strain M10/0148 (ATCC BAA-2313DX)",$650.00,$650.00,seqeunce available,NA,NA,1,"frozen ≥ 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ≥ 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2313DX.ashx
Thermotoga neapolitana Jannasch et al. (ATCC 49049D),$550.00,$550.00,NA,NA,Genomic DNA from strain NS-E [ATCC 49049],1,frozen Total DNA: 50 ng,NA,NA,-20Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/49049D.ashx
Mycobacterium marinum Aronson (ATCC BAA-535D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Mycobacterium marinum strain M [ATCC BAA-535],1,dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-535D-5.ashx
Kineococcus radiotolerans Phillips et al. (ATCC BAA-149D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Kineococcus radiotolerans strain SRS30216 [ATCC BAA-149],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-149D-5.ashx
Micrococcus luteus (Schroeter) Cohn (ATCC 53598D),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Micrococcus luteus strain SC 14641 [ATCC 53598],1,dried Total DNA: 10 ug,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/53598D.ashx
Campylobacter jejuni subsp. jejuni (Jones et al.) Veron and Chatelain (ATCC 33560D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Campylobacter jejuni subsp. jejuni strain CIP 702 [ATCC 33560],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33560D-5.ashx
Eggerthella lenta (Eggerth) Wade et al. (ATCC 25559D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Eggerthella lenta strain VPI 0255 [ATCC 25559],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/25559D-5.ashx
Quantitative Genomic DNA from Proteus mirabilis (ATCC 12453DQ),$541.00,$541.00,seqeunce available,NA,NA,1,frozen Specification range: ≥1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/12453DQ.ashx
Proteus mirabilis Hauser (ATCC 12453D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Proteus mirabilis strain D1 [ATCC 12453],1,freeze-dried At least 5 uL in 1X TE,NA,NA,2Celsius  to 8Celsius,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays.",https://www.atcc.org/~/ps/12453D-5.ashx
Mycobacteroides abscessus Gupta et al. (ATCC 19977D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Mycobacteroides abscessus strain L948 [ATCC 19977],1,freeze-dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/19977D-5.ashx
"NGS-Ready DNA from Staphylococcus aureus, strain M10/0148 (ATCC BAA-2313DX)",$650.00,$650.00,seqeunce available,NA,NA,1,"frozen ≥ 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ≥ 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2313DX.ashx
Thermotoga neapolitana Jannasch et al. (ATCC 49049D),$550.00,$550.00,NA,NA,Genomic DNA from strain NS-E [ATCC 49049],1,frozen Total DNA: 50 ng,NA,NA,-20Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/49049D.ashx
Quantitative Genomic DNA from Lactobacillus gasseri (ATCC 33323DQ),$541.00,$541.00,NA,NA,NA,1,frozen Specification range: ≥1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/33323DQ.ashx
Lactobacillus gasseri Lauer and Kandler (ATCC 33323D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Lactobacillus gasseri strain 63 AM [ATCC 33323],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33323D-5.ashx
Legionella pneumophila subsp. pneumophila Brenner et al. (ATCC 33152D-5),$336.00,$336.00,seqeunce available,NA,Genomic DNA from Legionella pneumophila subsp. pneumophila Strain Philadelphia-1 [ATCC 33152],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33152D-5.ashx
Halobacterium sp. (ATCC 700922D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Halobacterium sp. strain NRC-1 [ATCC 700922],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700922d-5.ashx
Quantitative Genomic DNA from Clostridium perfringens with ATCC 16S Tag 2 (ATCC 3624T2-DQ),$541.00,$541.00,NA,NA,NA,1,frozen Specification range: ≥1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.
Ideal for use as a spike-in control in assay development, library preparation, quality control, and data normalization for both 16S rRNA and shotgun metagenomics approaches.
Ideal for use in assaying the efficiency of extraction methods and for determining assay limit-of-detection.",https://www.atcc.org/~/ps/3624T2-DQ.ashx
Quantitative Genomic DNA from Clostridium perfringens (ATCC 13124DQ),$578.00,$578.00,NA,NA,NA,1,frozen Specification range: ≥1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/13124DQ.ashx
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 13124D-5),$336.00,$336.00,seqeunce available,NA,Genomic DNA from Clostridium perfringens Strain NCTC 8237 [ATCC 13124],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,Water testing,https://www.atcc.org/~/ps/13124D-5.ashx
Lactobacillus delbrueckii subsp. bulgaricus (Orla-Jensen) Weiss et al. (ATCC 11842D-5),$336.00,$336.00,seqeunce available,NA,Genomic DNA from Lactobacillus delbrueckii subsp. bulgaricus strain Lb14 [ATCC 11842],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/11842D-5.ashx
Streptococcus pneumoniae (Klein) Chester (ATCC BAA-255D-5),$336.00,$336.00,seqeunce available,NA,Genomic DNA from Streptococcus pneumoniae strain R6 [ATCC BAA-255],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-255D-5.ashx
Mycobacterium smegmatis (Trevisan) Lehmann and Neumann (ATCC 700084D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Mycobacterium smegmatis Strain mc(2)155 [ATCC 700084],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700084D-5.ashx
