Strain,For_profit_price,Non_Profit_price,Genome_Sequence_Availability,Deposited As,Strain_Designation,BSL,Product Format,Culture Medium,Growth_condition,Storage_conditions,Antibiotic Resistance,Comments,Application,Product Sheet,,,,
Aggregatibacter actinomycetemcomitans (Klinger 1912) N??rskov-Lauritsen and Kilian 2006 (ATCC 700685),$402.00 ,$341.70 ,seqeunce available,Actinobacillus actinomycetemcomitans,HK1651 [RAP-1],2,frozen,"ATCC  18: Trypticase Soy Agar/Broth
ATCC  814: GC Agar/Broth","Temperature: 35Celsius  to 37Celsius 
Atmosphere: 5% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/700685.ashx,,,,
Mycobacterium marinum Aronson (ATCC BAA-535D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Mycobacterium marinum strain M [ATCC BAA-535],1,dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-535D-5.ashx,,,,
Mycobacterium marinum Aronson (ATCC BAA-535),$376.00 ,$319.60 ,seqeunce available,NA,M [Moffett Hospital #975973],2,freeze-dried,"ATCC  1395: Middlebrook 7H9 broth with ADC enrichment
ATCC  173: Middlebrook 7H10 agar with Middlebrook OADC enrichment","Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Closely related to members of the M. tuberculosis complex, this pathogenic mycobacterial species can serve as a model for mycobacterial pathogenesis.",https://www.atcc.org/~/ps/BAA-535.ashx,,,,
Kineococcus radiotolerans Phillips et al. (ATCC BAA-149D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Kineococcus radiotolerans strain SRS30216 [ATCC BAA-149],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-149D-5.ashx,,,,
Parabacteroides merdae (Johnson et al.) Sakamoto and Benno (ATCC 43184),$402.00 ,$341.70 ,seqeunce available,Bacteroides merdae Johnson et al.,"VPI T4-1 [CIP 104202T, JCM 9497]",2,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Characterization,https://www.atcc.org/~/ps/43184.ashx,,,,
Parvimonas micra formerly Micromonas micros and Peptostreptococcus micros (ATCC 33270),$72.00 ,$61.20 ,seqeunce available,Peptostreptococcus micros (Prevot) Smith,"VPI 5464 [3119B, DSM 20468, GIFU 7824, NCTC 11808]",1,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Quality control strain,https://www.atcc.org/~/ps/33270.ashx,,,,
Nostoc sp. (ATCC 27893),$402.00 ,$341.70 ,seqeunce available,Anabaena sp.,PCC 7120,1,freeze-dried,"ATCC  1142: Allen and Arnon medium plus nitrate
ATCC  1142: Allen and Arnon medium plus nitrate
ATCC  616:  BG-11 for blue-green algae","Temperature: 26.0Celsius Atmosphere: Under light intensity of 2,000-3,000 luxProtocol: as growth medium",NA,NA,NA,Conjugation hostProduces hydrogenaseProduces restriction endonuclease AspCIProduces restriction endonuclease AspCIITransformation hostTransformation host that has been used as a partner in biparental conjugation with a strain of Escherichia coli carrying a shuttle vector and providing all functions necessary for the transfer of that vectorProduces two distinct hydrogenasesBacteriophage hostBiotechnology,https://www.atcc.org/~/ps/27893.ashx,,,,
Coprococcus eutactus Holdeman and Moore (ATCC 27759),$376.00 ,$319.60 ,seqeunce available,NA,VPI C33-22,1,freeze-dried,"ATCC  1015: Chopped meat carbohydrate medium (ATCC  593) with 0.1% cellobiose, 0.1% maltose and 0.1% starch
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/27759.ashx,,,,
Eggerthella lenta (Eggerth) Wade et al. (ATCC 25559D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Eggerthella lenta strain VPI 0255 [ATCC 25559],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/25559D-5.ashx,,,,
Eggerthella lenta (Eggerth) Wade et al. (ATCC 25559),$376.00 ,$319.60 ,seqeunce available,Eubacterium lentum (Eggerth) Prevot,"VPI 0255 [1899B, DSM 2243, JCM 9979, NCTC 11813]",1,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/25559.ashx,,,,
