,match,0
33581498,0,ATCC 45152D 
33581498,1,ATCC 40330 
33581498,2,ATCC 40338 
33581498,3,ATCC 40549 
33579686,0,ATCC 39723 
33579683,0,ATCC 15697 
33578815,0,ATCC B59630 
33578815,1,ATCC B66663 
33576800,0,ATCC 29974 
33576800,1,ATCC 49330 
33575897,0,ATCC 20611 
33575897,1,ATCC 20611 
33575897,2,ATCC 20611 
33574871,0,ATCC 14028 
33574871,1,ATCC 13076 
33572733,0,ATCC 10248 
33569376,0,ATCC 6538 
33569376,1,ATCC 29212 
33569376,2,ATCC 6633 
33569376,3,ATCC 9341 
33569376,4,ATCC 8739 
33569376,5,ATCC 9027 
33569376,6,ATCC 10231 
33568870,0,ATCC 25923 
33568870,1,ATCC 19115 
33568870,2,ATCC 25922 
33568870,3,ATCC 51812 
33568613,0,ATCC samples 
33560161,0,ATCC reference 
33558293,0,ATCC 49226 
33557849,0,ATCC 12 
33557096,0,ATCC 14271 
33555242,0,ATCC 43733 
33553705,0,ATCC 25922 
33553115,0,ATCC 13032 
33552627,0,ATCC 17802 
33551691,0,ATCC 12022 
33551685,0,ATCC 6633 
33551685,1,ATCC 10231 
33551685,2,ATCC 8739 
33551598,0,ATCC 29212 
33547059,0,ATCC 12980 
33547059,1,ATCC 12980 
33546254,0,ATCC 8099 
33544031,0,ATCC 19606 
33542233,0,ATCC 49531 
33541885,0,ATCC 43816 
33537471,0,ATCC 17697 
33537471,1,ATCC 17697 
33537008,0,ATCC 32068 
33537004,0,ATCC  
33535577,0,ATCC 29213 
33535577,1,ATCC 12228 
33533812,0,ATCC 4356 
33533812,1,ATCC 4356 
33533708,0,ATCC 23272 
33533708,1,ATCC 53608 
33530444,0,ATCC 25922 
33530444,1,ATCC 1402 
33530444,2,ATCC 9610 
33530444,3,ATCC 27588 
33530444,4,ATCC 6538 
33530444,5,ATCC 29212 
33530444,6,ATCC 14579 
33529773,0,ATCC 35556 
33529773,1,ATCC 35984 
33529148,0,ATCC 35872 
33528347,0,ATCC 21588 
33528347,1,ATCC 21588 
33525690,0,ATCC 25923 
33525690,1,ATCC 29213 
33525690,2,ATCC 29213 
33525690,3,ATCC 25923 
33525584,0,ATCC 25923 
33525584,1,ATCC 43300 
33525052,0,ATCC 35681 
33520591,0,ATCC 49230 
33518681,0,ATCC  
33516788,0,ATCC 8384 
33515286,0,ATCC 20542 
33515286,1,ATCC 20542 
33515286,2,ATCC 20542 
33515286,3,ATCC 20542 
33515286,4,ATCC 20542 
33512492,0,ATCC 10536 
33512418,0,ATCC 43816 
33512312,0,ATCC 27755 
33512312,1,ATCC 29149 
33512312,2,ATCC 35704 
33510223,0,ATCC  
33510223,1,ATCC 90028 
33510223,2,ATCC 22019 
33505771,0,ATCC strains 
33505622,0,ATCC 25175 
33505622,1,ATCC 4356 
33505369,0,ATCC 9945a 
33503966,0,ATCC 6051 
33503966,1,ATCC 17749 
33502659,0,ATCC 14028 
33501980,0,ATCC 17978 
33501980,1,ATCC 17978 
33497812,0,ATCC 700610 
