product,ID
ATCC  ,464
ATCC 0030 ,1
ATCC 01303 ,1
ATCC 0266P ,1
ATCC 063589 ,1
ATCC 09548 ,1
ATCC 1 ,1
ATCC 10 ,5
ATCC 100 ,1
ATCC 10005 ,1
ATCC 10012 ,1
ATCC 100131 ,1
ATCC 10028B ,5
ATCC 10028b ,3
ATCC 1003 ,1
ATCC 10031 ,13
ATCC 1004 ,1
ATCC 10060 ,2
ATCC 10068 ,1
ATCC 10074 ,2
ATCC 1009 ,1
ATCC 10092 ,2
ATCC 10102 ,1
ATCC 101110 ,1
ATCC 1012 ,1
ATCC 10124 ,2
ATCC 10137 ,4
ATCC 10145 ,30
ATCC 10149 ,2
ATCC 1015 ,18
ATCC 10154 ,1
ATCC 10195 ,1
ATCC 1021 ,1
ATCC 10211 ,2
ATCC 10213 ,1
ATCC 1022 ,2
ATCC 10229 ,1
ATCC 10231 ,217
ATCC 10231and ,1
ATCC 10239 ,4
ATCC 10240 ,9
ATCC 10241 ,1
ATCC 10245 ,4
ATCC 10248 ,1
ATCC 1025 ,1
ATCC 10259 ,1
ATCC 10261 ,4
ATCC 10281 ,1
ATCC 10321 ,1
ATCC 10324 ,1
ATCC 1034 ,1
ATCC 10356 ,1
ATCC 10376 ,1
ATCC 10379 ,1
ATCC 10386 ,1
ATCC 10400 ,2
ATCC 10401 ,1
ATCC 10404 ,1
ATCC 10409 ,1
ATCC 10449 ,1
ATCC 10490 ,2
ATCC 10500 ,3
ATCC 1053 ,1
ATCC 10536 ,37
ATCC 10537 ,2
ATCC 10538 ,2
ATCC 10541 ,9
ATCC 10549 ,2
ATCC 10550 ,1
ATCC 10556 ,14
ATCC 10557 ,4
ATCC 10558 ,6
ATCC 10566 ,1
ATCC 1057 ,1
ATCC 10571 ,3
ATCC 10574 ,1
ATCC 10577 ,1
ATCC 10578 ,1
ATCC 10580 ,2
ATCC 10595 ,2
ATCC 10657 ,4
ATCC 10658 ,1
ATCC 10673 ,1
ATCC 10700 ,1
ATCC 10702 ,1
ATCC 10704 ,1
ATCC 10708 ,6
ATCC 10712 ,10
ATCC 10721 ,1
ATCC 10722 ,1
ATCC 1076 ,1
ATCC 10762 ,2
ATCC 10779 ,1
ATCC 10788 ,2
ATCC 10790 ,1
ATCC 10792 ,3
ATCC 10798 ,5
ATCC 10799 ,1
ATCC 10813 ,1
ATCC 10832 ,2
ATCC 10859 ,1
ATCC 10862 ,1
ATCC 10863 ,1
ATCC 10864 ,1
ATCC 10876 ,20
ATCC 10881 ,1
ATCC 10897 ,2
ATCC 10900 ,1
ATCC 10953 ,10
ATCC 10970 ,6
ATCC 10970T ,1
ATCC 10987 ,23
ATCC 10988 ,3
ATCC 11006 ,2
ATCC 11009 ,1
ATCC 11011 ,1
ATCC 11040 ,2
ATCC 11040T ,1
ATCC 11041 ,2
ATCC 11060 ,1
ATCC 1110 ,1
ATCC 11105 ,3
ATCC 11116 ,1
ATCC 11145 ,4
ATCC 11166 ,3
ATCC 11166T ,2
ATCC 11168 ,1
ATCC 11170 ,1
ATCC 112 ,1
ATCC 1122 ,2
ATCC 11224 ,1
ATCC 11229 ,30
ATCC 11230 ,2
ATCC 11231 ,1
ATCC 11235 ,2
ATCC 11249 ,1
ATCC 11250 ,1
ATCC 11253 ,1
ATCC 11296 ,3
ATCC 11298 ,1
ATCC 11303 ,7
ATCC 11325 ,1
ATCC 11336 ,1
ATCC 11414 ,2
ATCC 11416 ,1
ATCC 11435 ,1
ATCC 11437 ,1
ATCC 11443 ,2
ATCC 11454 ,12
ATCC 11467 ,1
ATCC 11480 ,1
ATCC 11481 ,4
ATCC 11503 ,1
ATCC 11506 ,1
ATCC 11509 ,2
ATCC 11528 ,3
ATCC 11547 ,1
ATCC 11548 ,1
ATCC 11549 ,1
ATCC 11550 ,4
ATCC 11551 ,1
ATCC 11559 ,1
ATCC 11577 ,1
ATCC 11578 ,1
ATCC 11632 ,9
ATCC 11696 ,1
ATCC 1170 ,1
ATCC 11700 ,2
ATCC 11730 ,1
ATCC 11739 ,2
ATCC 11741 ,9
ATCC 11755 ,1
ATCC 11758 ,1
ATCC 11774 ,5
ATCC 11775 ,20
ATCC 11775E ,1
ATCC 11778 ,33
